Email;Address;dominio;Tec;Avg. Session Length;Time on App;Time on Website;Length of Membership
deandanny@yahoo.com;Frankfurt;yahoo;PC;32,64461691;12,63755716;36,51708576;5,226687713
rhonda01@gmail.com;Frankfurt;gmail;Iphone;34,38582029;12,72971951;36,2321098;5,705940717
amberchase@fowler.info;Munich;Otro;Smartphone;33,9252966;11,58865542;35,25224202;3,392050489
krista86@norton.net;Frankfurt;Otro;Iphone;34,312167;11,81058676;37,41413357;2,473596121
christopher66@hotmail.com;Munich;hotmail;Iphone;31,62536013;13,18791099;37,06708997;1,494310895
kennethperry@bowen.org;Frankfurt;Otro;Smartphone;32,51819681;11,50925345;36,59928909;3,02267576
langmatthew@hotmail.com;Munich;hotmail;Iphone;32,04983939;12,23805735;38,73086174;3,120568915
arice@reynolds.info;Frankfurt;Otro;Iphone;33,56647439;12,23565925;37,27757338;2,532044062
aaron04@yahoo.com;Munich;yahoo;PC;33,7051128;10,16317906;37,76304108;4,778973636
alicia85@lee.com;Munich;Otro;Smartphone;32,88710465;12,38718417;37,4311591;6,401228838
gregoryrussell@yahoo.com;Frankfurt;yahoo;Iphone;32,38625186;10,67465347;38,00658318;3,401522345
cody68@hotmail.com;Berlin;hotmail;Smartphone;34,48238805;13,28303287;35,90729843;4,968742674
twilliams@gibbs.net;Berlin;Otro;PC;33,15425476;11,79588668;37,65861691;4,520353377
nielsencarmen@harrell.net;Munich;Otro;Smartphone;32,28312306;10,90255623;36,09424195;4,789201624
daniellecuevas@hotmail.com;Berlin;hotmail;Smartphone;33,42874704;10,63676108;37,57883524;2,926396449
ijones@schaefer-carr.net;Berlin;Otro;Smartphone;33,54123131;12,78389178;36,43064962;4,648199316
mark52@yahoo.com;Frankfurt;yahoo;Smartphone;31,8854063;11,28193107;37,38531755;2,877224878
dwhite@gmail.com;Berlin;gmail;Smartphone;33,25823783;11,51494907;37,1280395;4,662845304
adam75@gmail.com;Berlin;gmail;Portatil;32,84879283;10,97316208;36,60950715;2,87098691
